year,count,arat,blm,bollen,freedomhouse,hadenius,pacl,polity,polyarchy,prc,vanhanen
1946,Afghanistan,NA,NA,NA,NA,NA,1,1,NA,1,1
1946,Albania,NA,NA,NA,NA,NA,1,2,NA,1,1
1946,Argentina,NA,NA,NA,NA,NA,2,3,NA,3,2
1946,Australia,NA,NA,NA,NA,NA,2,21,NA,4,8
1946,Austria,NA,NA,NA,NA,NA,2,21,NA,4,5
1946,Belgium,NA,NA,NA,NA,NA,2,21,NA,4,4
1946,Bhutan,NA,NA,NA,NA,NA,1,1,NA,1,NA
1946,Bolivia,NA,NA,NA,NA,NA,1,6,NA,1,1
1946,Brazil,NA,NA,NA,NA,NA,2,18,NA,4,2
1946,Bulgaria,NA,NA,NA,NA,NA,1,5,NA,1,2
1946,Canada,NA,NA,NA,NA,NA,2,21,NA,4,6
1946,Chile,NA,NA,NA,NA,NA,2,13,NA,3,2
1946,China,NA,NA,NA,NA,NA,1,6,NA,1,1
1946,Colombia,NA,NA,NA,NA,NA,2,16,NA,3,2
1946,Costa Rica,NA,2,NA,NA,NA,2,21,NA,3,2
1946,Cuba,NA,NA,NA,NA,NA,2,14,NA,4,3
1946,Czechoslovakia,NA,NA,NA,NA,NA,1,21,NA,4,7
1946,Denmark,NA,NA,NA,NA,NA,2,21,NA,4,7
1946,Dominican Rep,NA,NA,NA,NA,NA,1,2,NA,1,1
1946,Ecuador,NA,NA,NA,NA,NA,2,10,NA,1,1
1946,Egypt,NA,NA,NA,NA,NA,1,12,NA,1,1
1946,El Salvador,NA,1,NA,NA,NA,1,3,NA,1,1
1946,Ethiopia,NA,NA,NA,NA,NA,1,2,NA,1,1
1946,Finland,NA,NA,NA,NA,NA,2,21,NA,4,2
1946,France,NA,NA,NA,NA,NA,2,21,NA,4,8
1946,Greece,NA,NA,NA,NA,NA,2,19,NA,1,2
1946,Guatemala,NA,2,NA,NA,NA,2,16,NA,4,1
1946,Haiti,NA,NA,NA,NA,NA,1,10,NA,1,1
1946,Honduras,NA,1,NA,NA,NA,1,8,NA,1,1
1946,Hungary,NA,NA,NA,NA,NA,1,7,NA,1,5
1946,Iceland,NA,NA,NA,NA,NA,2,NA,NA,NA,7
1946,Indonesia,NA,NA,NA,NA,NA,NA,13,NA,NA,1
1946,Iran,NA,NA,NA,NA,NA,1,10,NA,1,1
1946,Iraq,NA,NA,NA,NA,NA,1,7,NA,1,1
1946,Ireland,NA,NA,NA,NA,NA,2,19,NA,4,5
1946,Italy,NA,NA,NA,NA,NA,2,16,NA,4,8
1946,Japan,NA,NA,NA,NA,NA,2,NA,NA,NA,1
1946,Jordan,NA,NA,NA,NA,NA,1,1,NA,1,1
1946,Lebanon,NA,NA,NA,NA,NA,2,13,NA,3,2
1946,Liberia,NA,NA,NA,NA,NA,1,5,NA,1,1
1946,Luxembourg,NA,NA,NA,NA,NA,2,NA,NA,NA,7
1946,Mexico,NA,NA,NA,NA,NA,1,5,NA,1,1
1946,Mongolia,NA,NA,NA,NA,NA,1,2,NA,1,1
1946,Nepal,NA,NA,NA,NA,NA,1,8,NA,1,1
1946,Netherlands,NA,NA,NA,NA,NA,2,21,NA,4,7
1946,New Zealand,NA,NA,NA,NA,NA,2,21,NA,4,7
1946,Nicaragua,NA,1,NA,NA,NA,1,3,NA,1,1
1946,Norway,NA,NA,NA,NA,NA,2,21,NA,4,6
1946,Panama,NA,NA,NA,NA,NA,1,8,NA,1,1
1946,Paraguay,NA,NA,NA,NA,NA,1,2,NA,1,1
1946,Peru,NA,NA,NA,NA,NA,2,13,NA,3,1
1946,Philippines,NA,NA,NA,NA,NA,2,13,NA,3,2
1946,Poland,NA,NA,NA,NA,NA,1,6,NA,NA,1
1946,Portugal,NA,NA,NA,NA,NA,1,2,NA,1,1
1946,Romania,NA,NA,NA,NA,NA,1,4,NA,1,2
1946,Russia (USSR),NA,NA,NA,NA,NA,1,2,NA,1,1
1946,Saudi Arabia,NA,NA,NA,NA,NA,1,1,NA,1,1
1946,South Africa,NA,NA,NA,NA,NA,1,15,NA,1,1
1946,Spain,NA,NA,NA,NA,NA,1,4,NA,1,1
1946,Sweden,NA,NA,NA,NA,NA,2,21,NA,4,6
1946,Switzerland,NA,NA,NA,NA,NA,2,21,NA,4,5
1946,Syria,NA,NA,NA,NA,NA,1,16,NA,1,1
1946,Thailand,NA,NA,NA,NA,NA,1,8,NA,3,1
1946,Turkey,NA,NA,NA,NA,NA,1,18,NA,2,2
1946,United Kingdom,NA,NA,NA,NA,NA,2,21,NA,4,5
1946,United States,NA,NA,NA,NA,NA,2,21,NA,4,5
1946,Uruguay,NA,NA,NA,NA,NA,2,11,NA,4,4
1946,Venezuela,NA,NA,NA,NA,NA,2,8,NA,2,1
1946,Yemen North,NA,NA,NA,NA,NA,1,2,NA,NA,1
1946,Yugoslavia (Serbia),NA,NA,NA,NA,NA,1,4,NA,1,1
1947,Afghanistan,NA,NA,NA,NA,NA,1,1,NA,1,1
1947,Albania,NA,NA,NA,NA,NA,1,2,NA,1,1
1947,Argentina,NA,NA,NA,NA,NA,2,2,NA,3,2
1947,Australia,NA,NA,NA,NA,NA,2,21,NA,4,6
1947,Austria,NA,NA,NA,NA,NA,2,21,NA,4,5
1947,Belgium,NA,NA,NA,NA,NA,2,21,NA,4,4
1947,Bhutan,NA,NA,NA,NA,NA,1,1,NA,1,NA
1947,Bolivia,NA,NA,NA,NA,NA,1,6,NA,1,1
1947,Brazil,NA,NA,NA,NA,NA,2,16,NA,4,2
1947,Bulgaria,NA,NA,NA,NA,NA,1,4,NA,1,1
1947,Canada,NA,NA,NA,NA,NA,2,21,NA,4,6
1947,Chile,NA,NA,NA,NA,NA,2,13,NA,3,2
1947,China,NA,NA,NA,NA,NA,1,6,NA,1,1
1947,Colombia,NA,NA,NA,NA,NA,2,16,NA,3,2
1947,Costa Rica,NA,2,NA,NA,NA,2,21,NA,3,2
1947,Cuba,NA,NA,NA,NA,NA,2,14,NA,4,3
1947,Czechoslovakia,NA,NA,NA,NA,NA,1,10,NA,4,7
1947,Denmark,NA,NA,NA,NA,NA,2,21,NA,4,7
1947,Dominican Rep,NA,NA,NA,NA,NA,1,2,NA,1,1
1947,Ecuador,NA,NA,NA,NA,NA,1,10,NA,1,1
1947,Egypt,NA,NA,NA,NA,NA,1,12,NA,1,1
1947,El Salvador,NA,1,NA,NA,NA,1,3,NA,1,1
1947,Ethiopia,NA,NA,NA,NA,NA,1,2,NA,1,1
1947,Finland,NA,NA,NA,NA,NA,2,21,NA,4,2
1947,France,NA,NA,NA,NA,NA,2,21,NA,4,7
1947,Greece,NA,NA,NA,NA,NA,2,19,NA,1,2
1947,Guatemala,NA,2,NA,NA,NA,2,16,NA,4,1
1947,Haiti,NA,NA,NA,NA,NA,1,9,NA,1,1
1947,Honduras,NA,1,NA,NA,NA,1,8,NA,1,1
1947,Hungary,NA,NA,NA,NA,NA,1,5,NA,1,5
1947,Iceland,NA,NA,NA,NA,NA,2,NA,NA,NA,7
1947,India,NA,NA,NA,NA,NA,2,NA,NA,1,1
1947,Indonesia,NA,NA,NA,NA,NA,NA,13,NA,NA,1
1947,Iran,NA,NA,NA,NA,NA,1,10,NA,1,1
1947,Iraq,NA,NA,NA,NA,NA,1,7,NA,1,1
1947,Ireland,NA,NA,NA,NA,NA,2,19,NA,4,5
1947,Italy,NA,NA,NA,NA,NA,2,19,NA,4,7
1947,Japan,NA,NA,NA,NA,NA,2,NA,NA,NA,5
1947,Jordan,NA,NA,NA,NA,NA,1,1,NA,1,1
1947,Lebanon,NA,NA,NA,NA,NA,2,13,NA,3,2
1947,Liberia,NA,NA,NA,NA,NA,1,5,NA,1,1
1947,Luxembourg,NA,NA,NA,NA,NA,2,NA,NA,NA,7
1947,Mexico,NA,NA,NA,NA,NA,1,5,NA,1,1
1947,Mongolia,NA,NA,NA,NA,NA,1,2,NA,1,1
1947,Nepal,NA,NA,NA,NA,NA,1,6,NA,1,1
1947,Netherlands,NA,NA,NA,NA,NA,2,21,NA,4,7
1947,New Zealand,NA,NA,NA,NA,NA,2,21,NA,4,7
1947,Nicaragua,NA,1,NA,NA,NA,1,3,NA,1,1
1947,Norway,NA,NA,NA,NA,NA,2,21,NA,4,6
1947,Pakistan,NA,NA,NA,NA,NA,2,7,NA,3,1
1947,Panama,NA,NA,NA,NA,NA,1,8,NA,1,1
1947,Paraguay,NA,NA,NA,NA,NA,1,6,NA,1,1
1947,Peru,NA,NA,NA,NA,NA,2,13,NA,3,1
1947,Philippines,NA,NA,NA,NA,NA,2,13,NA,3,2
1947,Poland,NA,NA,NA,NA,NA,1,4,NA,1,2
1947,Portugal,NA,NA,NA,NA,NA,1,2,NA,1,1
1947,Romania,NA,NA,NA,NA,NA,1,4,NA,1,2
1947,Russia (USSR),NA,NA,NA,NA,NA,1,2,NA,1,1
1947,Saudi Arabia,NA,NA,NA,NA,NA,1,1,NA,1,1
1947,South Africa,NA,NA,NA,NA,NA,1,15,NA,1,1
1947,Spain,NA,NA,NA,NA,NA,1,4,NA,1,1
1947,Sweden,NA,NA,NA,NA,NA,2,21,NA,4,6
1947,Switzerland,NA,NA,NA,NA,NA,2,21,NA,4,6
1947,Syria,NA,NA,NA,NA,NA,1,16,NA,1,2
1947,Thailand,NA,NA,NA,NA,NA,1,8,NA,3,1
1947,Turkey,NA,NA,NA,NA,NA,1,18,NA,2,2
1947,United Kingdom,NA,NA,NA,NA,NA,2,21,NA,4,5
1947,United States,NA,NA,NA,NA,NA,2,21,NA,4,5
1947,Uruguay,NA,NA,NA,NA,NA,2,11,NA,4,4
1947,Venezuela,NA,NA,NA,NA,NA,2,8,NA,2,2
1947,Yemen North,NA,NA,NA,NA,NA,1,4,NA,NA,1
1947,Yugoslavia (Serbia),NA,NA,NA,NA,NA,1,4,NA,1,1
1948,Afghanistan,2,NA,NA,NA,NA,1,1,NA,1,1
1948,Albania,2,NA,NA,NA,NA,1,2,NA,1,1
1948,Argentina,5,NA,NA,NA,NA,2,2,NA,3,2
1948,Australia,6,NA,NA,NA,NA,2,21,NA,4,7
1948,Austria,NA,NA,NA,NA,NA,2,21,NA,4,5
1948,Belgium,6,NA,NA,NA,NA,2,21,NA,4,4
1948,Bhutan,NA,NA,NA,NA,NA,1,1,NA,1,NA
1948,Bolivia,4,NA,NA,NA,NA,1,6,NA,1,1
1948,Brazil,5,NA,NA,NA,NA,2,16,NA,4,2
1948,Bulgaria,2,NA,NA,NA,NA,1,4,NA,1,1
1948,Canada,6,NA,NA,NA,NA,2,21,NA,4,6
1948,Chile,5,NA,NA,NA,NA,2,13,NA,3,2
1948,China,3,NA,NA,NA,NA,1,6,NA,1,1
1948,Colombia,5,NA,NA,NA,NA,2,6,NA,3,2
1948,Costa Rica,2,1,NA,NA,NA,1,21,NA,2,1
1948,Cuba,5,NA,NA,NA,NA,2,14,NA,4,5
1948,Czechoslovakia,1,NA,NA,NA,NA,1,4,NA,1,2
1948,Denmark,5,NA,NA,NA,NA,2,21,NA,4,7
1948,Dominican Rep,2,NA,NA,NA,NA,1,2,NA,1,1
1948,Ecuador,5,NA,NA,NA,NA,2,13,NA,1,2
1948,Egypt,NA,NA,NA,NA,NA,1,12,NA,1,1
1948,El Salvador,1,1,NA,NA,NA,1,4,NA,1,1
1948,Ethiopia,1,NA,NA,NA,NA,1,2,NA,1,1
1948,Finland,6,NA,NA,NA,NA,2,21,NA,4,3
1948,France,6,NA,NA,NA,NA,2,21,NA,4,7
1948,Greece,5,NA,NA,NA,NA,2,19,NA,1,2
1948,Guatemala,6,2,NA,NA,NA,2,16,NA,4,1
1948,Haiti,3,NA,NA,NA,NA,1,8,NA,1,1
1948,Honduras,3,1,NA,NA,NA,1,8,NA,1,1
1948,Hungary,4,NA,NA,NA,NA,1,4,NA,1,1
1948,Iceland,6,NA,NA,NA,NA,2,NA,NA,NA,7
1948,India,NA,NA,NA,NA,NA,2,NA,NA,1,1
1948,Indonesia,NA,NA,NA,NA,NA,NA,14,NA,NA,1
1948,Iran,2,NA,NA,NA,NA,1,10,NA,1,1
1948,Iraq,3,NA,NA,NA,NA,1,7,NA,1,1
1948,Ireland,6,NA,NA,NA,NA,2,19,NA,4,6
1948,Israel,NA,NA,NA,NA,NA,2,21,NA,2,1
1948,Italy,6,NA,NA,NA,NA,2,21,NA,4,6
1948,Japan,NA,NA,NA,NA,NA,2,NA,NA,NA,5
1948,Jordan,2,NA,NA,NA,NA,1,1,NA,1,1
1948,Korea North,NA,NA,NA,NA,NA,1,4,NA,1,1
1948,Korea South,NA,NA,NA,NA,NA,1,8,NA,4,2
1948,Lebanon,5,NA,NA,NA,NA,2,13,NA,3,2
1948,Liberia,3,NA,NA,NA,NA,1,5,NA,1,1
1948,Luxembourg,6,NA,NA,NA,NA,2,NA,NA,NA,7
1948,Mexico,4,NA,NA,NA,NA,1,5,NA,1,1
1948,Mongolia,1,NA,NA,NA,NA,1,2,NA,1,1
1948,Myanmar (Burma),NA,NA,NA,NA,NA,2,19,NA,4,1
1948,Nepal,1,NA,NA,NA,NA,1,6,NA,1,1
1948,Netherlands,6,NA,NA,NA,NA,2,21,NA,4,7
1948,New Zealand,6,NA,NA,NA,NA,2,21,NA,4,7
1948,Nicaragua,3,1,NA,NA,NA,1,3,NA,1,1
1948,Norway,6,NA,NA,NA,NA,2,21,NA,4,6
1948,Pakistan,NA,NA,NA,NA,NA,2,13,NA,3,1
1948,Panama,5,NA,NA,NA,NA,1,8,NA,1,4
1948,Paraguay,2,NA,NA,NA,NA,1,6,NA,1,1
1948,Peru,1,NA,NA,NA,NA,1,5,NA,3,1
1948,Philippines,5,NA,NA,NA,NA,2,13,NA,3,2
1948,Poland,3,NA,NA,NA,NA,1,4,NA,1,1
1948,Portugal,2,NA,NA,NA,NA,1,2,NA,1,1
1948,Romania,2,NA,NA,NA,NA,1,4,NA,1,1
1948,Russia (USSR),2,NA,NA,NA,NA,1,2,NA,1,1
1948,Saudi Arabia,1,NA,NA,NA,NA,1,1,NA,1,1
1948,South Africa,4,NA,NA,NA,NA,1,15,NA,1,1
1948,Spain,1,NA,NA,NA,NA,1,4,NA,1,1
1948,Sri Lanka,NA,NA,NA,NA,NA,2,18,NA,4,4
1948,Sweden,6,NA,NA,NA,NA,2,21,NA,4,7
1948,Switzerland,6,NA,NA,NA,NA,2,21,NA,4,4
1948,Syria,4,NA,NA,NA,NA,1,16,NA,1,2
1948,Thailand,2,NA,NA,NA,NA,1,8,NA,1,1
1948,Turkey,5,NA,NA,NA,NA,1,18,NA,2,2
1948,United Kingdom,6,NA,NA,NA,NA,2,21,NA,4,5
1948,United States,6,NA,NA,NA,NA,2,21,NA,4,5
1948,Uruguay,6,NA,NA,NA,NA,2,11,NA,4,4
1948,Venezuela,1,NA,NA,NA,NA,1,8,NA,4,1
1948,Yemen North,1,NA,NA,NA,NA,1,5,NA,1,1
1948,Yugoslavia (Serbia),2,NA,NA,NA,NA,1,4,NA,1,1
1949,Afghanistan,2,NA,NA,NA,NA,1,1,NA,1,1
1949,Albania,2,NA,NA,NA,NA,1,2,NA,1,1
1949,Argentina,4,NA,NA,NA,NA,2,2,NA,3,2
1949,Australia,6,NA,NA,NA,NA,2,21,NA,4,7
1949,Austria,NA,NA,NA,NA,NA,2,21,NA,4,7
1949,Belgium,6,NA,NA,NA,NA,2,21,NA,4,7
1949,Bhutan,NA,NA,NA,NA,NA,1,1,NA,1,1
1949,Bolivia,4,NA,NA,NA,NA,1,6,NA,1,1
1949,Brazil,5,NA,NA,NA,NA,2,16,NA,4,2
1949,Bulgaria,2,NA,NA,NA,NA,1,4,NA,1,1
1949,Canada,6,NA,NA,NA,NA,2,21,NA,4,5
1949,Chile,5,NA,NA,NA,NA,2,13,NA,3,2
1949,China,1,NA,NA,NA,NA,1,3,NA,1,1
1949,Colombia,4,NA,NA,NA,NA,1,6,NA,3,1
1949,Costa Rica,5,2,NA,NA,NA,2,21,NA,2,2
1949,Cuba,6,NA,NA,NA,NA,2,14,NA,4,5
1949,Czechoslovakia,1,NA,NA,NA,NA,1,4,NA,1,2
1949,Denmark,5,NA,NA,NA,NA,2,21,NA,4,7
1949,Dominican Rep,2,NA,NA,NA,NA,1,2,NA,1,1
1949,Ecuador,5,NA,NA,NA,NA,2,13,NA,3,2
1949,Egypt,NA,NA,NA,NA,NA,1,12,NA,1,1
1949,El Salvador,1,1,NA,NA,NA,1,4,NA,1,1
1949,Ethiopia,1,NA,NA,NA,NA,1,2,NA,1,1
1949,Finland,6,NA,NA,NA,NA,2,21,NA,4,3
1949,France,6,NA,NA,NA,NA,2,21,NA,4,7
1949,Germany East,NA,NA,NA,NA,NA,1,4,NA,1,1
1949,Germany West,NA,NA,NA,NA,NA,2,21,NA,2,7
1949,Greece,5,NA,NA,NA,NA,2,15,NA,1,2
1949,Guatemala,5,2,NA,NA,NA,2,16,NA,4,1
1949,Haiti,3,NA,NA,NA,NA,1,7,NA,1,1
1949,Honduras,3,1,NA,NA,NA,1,8,NA,3,1
1949,Hungary,2,NA,NA,NA,NA,1,4,NA,1,1
1949,Iceland,6,NA,NA,NA,NA,2,NA,NA,NA,7
1949,India,NA,NA,NA,NA,NA,2,NA,NA,1,1
1949,Indonesia,NA,NA,NA,NA,NA,1,14,NA,4,1
1949,Iran,2,NA,NA,NA,NA,1,10,NA,1,1
1949,Iraq,3,NA,NA,NA,NA,1,7,NA,1,1
1949,Ireland,6,NA,NA,NA,NA,2,19,NA,4,6
1949,Israel,NA,NA,NA,NA,NA,2,21,NA,4,6
1949,Italy,6,NA,NA,NA,NA,2,21,NA,4,6
1949,Japan,NA,NA,NA,NA,NA,2,NA,NA,NA,5
1949,Jordan,2,NA,NA,NA,NA,1,1,NA,1,1
1949,Korea North,NA,NA,NA,NA,NA,1,4,NA,1,1
1949,Korea South,NA,NA,NA,NA,NA,1,8,NA,1,2
1949,Lebanon,5,NA,NA,NA,NA,2,13,NA,3,2
1949,Liberia,3,NA,NA,NA,NA,1,5,NA,1,1
1949,Luxembourg,6,NA,NA,NA,NA,2,NA,NA,NA,7
1949,Mexico,4,NA,NA,NA,NA,1,5,NA,1,1
1949,Mongolia,1,NA,NA,NA,NA,1,2,NA,1,1
1949,Myanmar (Burma),NA,NA,NA,NA,NA,2,19,NA,4,1
1949,Nepal,1,NA,NA,NA,NA,1,6,NA,1,1
1949,Netherlands,6,NA,NA,NA,NA,2,21,NA,4,7
1949,New Zealand,6,NA,NA,NA,NA,2,21,NA,4,7
1949,Nicaragua,3,1,NA,NA,NA,1,3,NA,1,1
1949,Norway,6,NA,NA,NA,NA,2,21,NA,4,6
1949,Pakistan,NA,NA,NA,NA,NA,2,15,NA,3,1
1949,Panama,5,NA,NA,NA,NA,2,10,NA,1,4
1949,Paraguay,2,NA,NA,NA,NA,1,6,NA,1,1
1949,Peru,1,NA,NA,NA,NA,1,5,NA,1,1
1949,Philippines,5,NA,NA,NA,NA,2,13,NA,3,2
1949,Poland,3,NA,NA,NA,NA,1,4,NA,1,1
1949,Portugal,2,NA,NA,NA,NA,1,2,NA,1,1
1949,Romania,2,NA,NA,NA,NA,1,4,NA,1,1
1949,Russia (USSR),2,NA,NA,NA,NA,1,2,NA,1,1
1949,Saudi Arabia,1,NA,NA,NA,NA,1,1,NA,1,1
1949,South Africa,4,NA,NA,NA,NA,1,15,NA,1,1
1949,Spain,1,NA,NA,NA,NA,1,4,NA,1,1
1949,Sri Lanka,NA,NA,NA,NA,NA,2,18,NA,4,4
1949,Sweden,6,NA,NA,NA,NA,2,21,NA,4,7
1949,Switzerland,6,NA,NA,NA,NA,2,21,NA,4,6
1949,Syria,2,NA,NA,NA,NA,1,4,NA,1,2
1949,Taiwan,NA,NA,NA,NA,NA,1,3,NA,1,1
1949,Thailand,2,NA,NA,NA,NA,1,8,NA,1,1
1949,Turkey,5,NA,NA,NA,NA,1,18,NA,2,2
1949,United Kingdom,6,NA,NA,NA,NA,2,21,NA,4,5
1949,United States,6,NA,NA,NA,NA,2,21,NA,4,5
1949,Uruguay,6,NA,NA,NA,NA,2,11,NA,4,4
1949,Venezuela,1,NA,NA,NA,NA,1,8,NA,1,1
1949,Yemen North,1,NA,NA,NA,NA,1,5,NA,1,1
1949,Yugoslavia (Serbia),2,NA,NA,NA,NA,1,4,NA,1,1
1950,Afghanistan,2,NA,2,NA,NA,1,1,NA,1,1
1950,Albania,3,NA,3,NA,NA,1,2,NA,1,1
1950,Argentina,3,NA,5,NA,NA,2,2,NA,3,2
1950,Australia,6,NA,10,NA,NA,2,21,NA,4,7
1950,Austria,NA,NA,NA,NA,NA,2,21,NA,4,7
1950,Belgium,6,NA,10,NA,NA,2,21,NA,4,6
1950,Bhutan,NA,NA,NA,NA,NA,1,1,NA,1,1
1950,Bolivia,4,NA,7,NA,NA,1,6,NA,1,1
1950,Brazil,5,NA,9,NA,NA,2,16,NA,4,2
1950,Bulgaria,2,NA,3,NA,NA,1,4,NA,1,1
1950,Canada,6,NA,10,NA,NA,2,21,NA,4,5
1950,Chile,5,NA,9,NA,NA,2,13,NA,3,2
1950,China,1,NA,3,NA,NA,1,3,NA,1,1
1950,Colombia,4,NA,7,NA,NA,1,6,NA,1,1
1950,Costa Rica,5,2,9,NA,NA,2,21,NA,4,2
1950,Cuba,5,NA,10,NA,NA,2,14,NA,4,5
1950,Czechoslovakia,1,NA,2,NA,NA,1,4,NA,1,2
1950,Denmark,5,NA,10,NA,NA,2,21,NA,4,6
1950,Dominican Rep,2,NA,NA,NA,NA,1,2,NA,1,1
1950,Ecuador,5,NA,9,NA,NA,2,13,NA,3,2
1950,Egypt,NA,NA,NA,NA,NA,1,12,NA,1,1
1950,El Salvador,3,1,6,NA,NA,1,5,NA,1,4
1950,Ethiopia,1,NA,NA,NA,NA,1,2,NA,1,1
1950,Finland,6,NA,10,NA,NA,2,21,NA,4,6
1950,France,6,NA,10,NA,NA,2,21,NA,4,7
1950,Germany East,NA,NA,NA,NA,NA,1,3,NA,1,1
1950,Germany West,NA,NA,NA,NA,NA,2,21,NA,4,7
1950,Greece,6,NA,10,NA,NA,2,15,NA,1,4
1950,Guatemala,5,2,7,NA,NA,2,13,NA,4,2
1950,Haiti,3,NA,5,NA,NA,1,6,NA,1,1
1950,Honduras,3,1,7,NA,NA,1,8,NA,3,1
1950,Hungary,2,NA,3,NA,NA,1,4,NA,1,1
1950,Iceland,6,NA,10,NA,NA,2,NA,NA,NA,7
1950,India,NA,NA,NA,NA,NA,2,20,NA,1,1
1950,Indonesia,NA,NA,NA,NA,NA,1,11,NA,4,1
1950,Iran,3,NA,5,NA,NA,1,10,NA,1,1
1950,Iraq,2,NA,4,NA,NA,1,7,NA,1,1
1950,Ireland,6,NA,10,NA,NA,2,19,NA,4,6
1950,Israel,NA,NA,NA,NA,NA,2,21,NA,4,6
1950,Italy,6,NA,10,NA,NA,2,21,NA,4,6
1950,Japan,NA,NA,NA,NA,NA,2,NA,NA,NA,5
1950,Jordan,2,NA,4,NA,NA,1,1,NA,1,1
1950,Korea North,NA,NA,NA,NA,NA,1,4,NA,1,1
1950,Korea South,NA,NA,NA,NA,NA,1,8,NA,1,2
1950,Lebanon,6,NA,10,NA,NA,2,13,NA,3,2
1950,Liberia,3,NA,6,NA,NA,1,5,NA,1,1
1950,Luxembourg,6,NA,10,NA,NA,2,NA,NA,NA,7
1950,Mexico,4,NA,8,NA,NA,1,5,NA,1,1
1950,Mongolia,1,NA,2,NA,NA,1,2,NA,1,1
1950,Myanmar (Burma),NA,NA,NA,NA,NA,2,19,NA,4,1
1950,Nepal,1,NA,2,NA,NA,1,6,NA,1,1
1950,Netherlands,6,NA,10,NA,NA,2,21,NA,4,7
1950,New Zealand,6,NA,10,NA,NA,2,21,NA,4,6
1950,Nicaragua,4,1,5,NA,NA,1,3,NA,1,1
1950,Norway,6,NA,10,NA,NA,2,21,NA,4,6
1950,Pakistan,NA,NA,NA,NA,NA,2,15,NA,3,1
1950,Panama,5,NA,7,NA,NA,2,10,NA,1,4
1950,Paraguay,2,NA,5,NA,NA,1,6,NA,1,1
1950,Peru,3,NA,4,NA,NA,1,9,NA,1,1
1950,Philippines,5,NA,8,NA,NA,2,16,NA,3,2
1950,Poland,3,NA,5,NA,NA,1,4,NA,1,1
1950,Portugal,2,NA,5,NA,NA,1,2,NA,1,1
1950,Romania,2,NA,3,NA,NA,1,4,NA,1,1
1950,Russia (USSR),2,NA,NA,NA,NA,1,2,NA,1,1
1950,Saudi Arabia,1,NA,2,NA,NA,1,1,NA,1,1
1950,South Africa,4,NA,7,NA,NA,1,15,NA,1,1
1950,Spain,1,NA,2,NA,NA,1,4,NA,1,1
1950,Sri Lanka,NA,NA,NA,NA,NA,2,18,NA,4,4
1950,Sweden,6,NA,10,NA,NA,2,21,NA,4,7
1950,Switzerland,6,NA,10,NA,NA,2,21,NA,4,7
1950,Syria,2,NA,3,NA,NA,1,13,NA,1,2
1950,Taiwan,NA,NA,NA,NA,NA,1,3,NA,1,1
1950,Thailand,2,NA,NA,NA,NA,1,8,NA,1,1
1950,Turkey,5,NA,9,NA,NA,1,18,NA,4,4
1950,United Kingdom,6,NA,10,NA,NA,2,21,NA,4,7
1950,United States,6,NA,10,NA,NA,2,21,NA,4,5
1950,Uruguay,6,NA,10,NA,NA,2,11,NA,4,5
1950,Venezuela,1,NA,4,NA,NA,1,8,NA,1,1
1950,Yemen North,1,NA,2,NA,NA,1,5,NA,1,1
1950,Yugoslavia (Serbia),2,NA,NA,NA,NA,1,4,NA,1,1
1951,Afghanistan,2,NA,NA,NA,NA,1,1,NA,1,1
1951,Albania,2,NA,NA,NA,NA,1,2,NA,1,1
1951,Argentina,3,NA,NA,NA,NA,2,2,NA,3,4
1951,Australia,6,NA,NA,NA,NA,2,21,NA,4,7
1951,Austria,NA,NA,NA,NA,NA,2,21,NA,4,7
1951,Belgium,6,NA,NA,NA,NA,2,21,NA,4,6
1951,Bhutan,NA,NA,NA,NA,NA,1,1,NA,1,1
1951,Bolivia,1,NA,NA,NA,NA,1,6,NA,1,1
1951,Brazil,5,NA,NA,NA,NA,2,16,NA,4,2
1951,Bulgaria,2,NA,NA,NA,NA,1,4,NA,1,1
1951,Canada,6,NA,NA,NA,NA,2,21,NA,4,5
1951,Chile,5,NA,NA,NA,NA,2,13,NA,3,2
1951,China,1,NA,NA,NA,NA,1,3,NA,1,1
1951,Colombia,4,NA,NA,NA,NA,1,6,NA,1,1
1951,Costa Rica,5,2,NA,NA,NA,2,21,NA,4,2
1951,Cuba,6,NA,NA,NA,NA,2,14,NA,4,5
1951,Czechoslovakia,2,NA,NA,NA,NA,1,4,NA,1,2
1951,Denmark,5,NA,NA,NA,NA,2,21,NA,4,6
1951,Dominican Rep,2,NA,NA,NA,NA,1,2,NA,1,1
1951,Ecuador,5,NA,NA,NA,NA,2,13,NA,3,2
1951,Egypt,NA,NA,NA,NA,NA,1,12,NA,1,1
1951,El Salvador,3,1,NA,NA,NA,1,5,NA,1,3
1951,Ethiopia,1,NA,NA,NA,NA,1,2,NA,1,1
1951,Finland,6,NA,NA,NA,NA,2,21,NA,4,5
1951,France,6,NA,NA,NA,NA,2,21,NA,4,7
1951,Germany East,NA,NA,NA,NA,NA,1,3,NA,1,1
1951,Germany West,NA,NA,NA,NA,NA,2,21,NA,4,7
1951,Greece,5,NA,NA,NA,NA,2,15,NA,3,3
1951,Guatemala,5,2,NA,NA,NA,2,13,NA,4,2
1951,Haiti,4,NA,NA,NA,NA,1,6,NA,1,1
1951,Honduras,3,1,NA,NA,NA,1,8,NA,3,1
1951,Hungary,2,NA,NA,NA,NA,1,4,NA,1,1
1951,Iceland,6,NA,NA,NA,NA,2,NA,NA,NA,7
1951,India,NA,NA,NA,NA,NA,2,20,NA,1,1
